NRO_COMERCIO;NRO_TERMINAL;FECHA_VIAJE;MARCA_TARJETA;NRO_LOTE;NRO_CUPON;IMPORTE_CUPON;TIPO_MOVIMIENTO
30605659981;15186946;06/02/2018;VISA;479;5829;979;VENTA
30605659981;15186946;06/02/2018;VISA;479;5837;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;135;418;VENTA
30605659981;15186946;07/02/2018;VISA;0;1515;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;1516;1012;VENTA
30605659981;15186946;07/02/2018;VISA;0;1517;748;VENTA
30605659981;15186946;07/02/2018;VISA;0;1518;748;VENTA
30605659981;15186946;07/02/2018;VISA;0;1519;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;1520;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;1522;286;VENTA
30605659981;15186946;07/02/2018;VISA;0;1527;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;1529;891;VENTA
30605659981;15186946;07/02/2018;VISA;0;5838;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5839;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5840;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5842;748;VENTA
30605659981;15186946;07/02/2018;VISA;0;5843;1012;VENTA
30605659981;15186946;07/02/2018;VISA;0;5844;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5845;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5846;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5849;858,88;VENTA
30605659981;15186946;07/02/2018;VISA;0;5850;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5851;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5852;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5853;858;VENTA
30605659981;15186946;07/02/2018;VISA;0;5854;891;VENTA
30605659981;15186946;07/02/2018;VISA;0;5855;1012;VENTA
30605659981;15186946;07/02/2018;VISA;379;1511;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1512;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1513;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1514;920;VENTA
30605659981;15186946;07/02/2018;VISA;379;1521;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1523;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1524;780;VENTA
30605659981;15186946;07/02/2018;VISA;379;1525;858;VENTA
30605659981;15186946;07/02/2018;VISA;379;1526;380;VENTA
30605659981;15186946;07/02/2018;VISA;380;1528;858;VENTA
30605659981;15186946;07/02/2018;VISA;380;1530;820;VENTA
30605659981;15186946;07/02/2018;VISA;380;1531;810;VENTA
30605659981;15186946;07/02/2018;VISA;380;1532;891;VENTA
30605659981;15186946;07/02/2018;VISA;380;1533;780;VENTA
30605659981;15186946;07/02/2018;VISA;380;1534;858;VENTA
30605659981;15186946;07/02/2018;VISA;380;1535;780;VENTA
30605659981;15186946;07/02/2018;VISA;380;1536;891;VENTA
30605659981;15186946;07/02/2018;VISA;380;1537;1170;VENTA
30605659981;15186946;07/02/2018;VISA;381;1538;891;VENTA
30605659981;15186946;07/02/2018;VISA;480;5841;1012;VENTA
30605659981;15186946;07/02/2018;VISA;481;5847;858;VENTA
30605659981;15186946;07/02/2018;VISA;481;5848;780;VENTA
30605659981;15186946;08/02/2018;VISA;0;1545;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;1547;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;1550;418;VENTA
30605659981;15186946;08/02/2018;VISA;0;1552;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;1553;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;1554;440;VENTA
30605659981;15186946;08/02/2018;VISA;0;1555;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;1557;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5856;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5857;891;VENTA
30605659981;15186946;08/02/2018;VISA;0;5858;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5859;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5860;891;VENTA
30605659981;15186946;08/02/2018;VISA;0;5862;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5863;1012;VENTA
30605659981;15186946;08/02/2018;VISA;0;5864;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5865;418;VENTA
30605659981;15186946;08/02/2018;VISA;0;5866;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5867;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5868;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5870;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5871;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5872;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5875;891;VENTA
30605659981;15186946;08/02/2018;VISA;0;5877;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5879;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5880;1012;VENTA
30605659981;15186946;08/02/2018;VISA;0;5881;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5882;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5884;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5885;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5886;858;VENTA
30605659981;15186946;08/02/2018;VISA;0;5887;858;VENTA
